ROI,ID,GROUP
V1,1,1
MST,2,5
V6,3,3
V2,4,2
V3,5,2
V4,6,2
V8,7,4
4,8,6
3b,9,6
FEF,10,8
PEF,11,8
55b,12,8
V3A,13,3
RSC,14,18
POS2,15,18
V7,16,3
IPS1,17,3 
FFC,18,4
V3B,19,3
LO1,20,5
LO2,21,5
PIT,22,4
MT,23,5
A1,24,10
PSL,25,15
SFL,26,22
PCV,27,18
STV,28,15
7Pm,29,16
7m,30,18
POS1,31,18
23d,32,18
v23ab,33,18
d23ab,34,18
31pv,35,18
5m,36,7
5mv,37,7
23c,38,7
5L,39,7
24dd,40,7 
24dv,41,7
7AL,42,16
SCEF,43,7
6ma,44,7
7Am,45,16
7Pl,46,16
7PC,47,16
LIPv,48,16
VIP,49,16
MIP,50,16
1,51,6
2,52,6
3a,53,6
6d,54,8
6mp,55,7
6v,56,8
p24pr,57,19 
33pr,58,19
a24pr,59,19
p32pr,60,19
a24,61,19
d32,62,19
8BM,63,19
p32,64,19
10r,65,19
47m,66,20
8Av,67,22
8Ad,68,22
9m,69,19
8BL,70,22
9p,71,22
10d,72,20
8C,73,22
44,74,21
45,75,21
47l,76,21
a47r,77,21
6r,78,8
IFJa,79,21 
IFJp,80,21
IFSp,81,21
IFSa,82,21
p9-46v,83,22
46,84,22
a9-46v,85,22  
9-46d,86,22
9a,87,22
10v,88,19
a10p,89,20
10pp,90,20
11l,91,20
13l,92,20
OFC,93,20
47s,94,20
LIPd,95,16
6a,96,8
i6-8,97,22 
s6-8,98,22
43,99,9
OP4,100,9
OP1,101,9
OP2-3,102,9
52,103,10
RI,104,10
PFcm,105,10
PoI2,106,12
TA2,107,11
FOP4,108,12
MI,109,12
Pir,110,12
AVI,111,12
AAIC,112,12
FOP1,113,9
FOP3,114,12
FOP2,115,12
PFt,116,17
AIP,117,16
EC,118,13
PreS,119,13
H,120,13
ProS,121,18
PeEc,122,13
STGa,123,11
PBelt,124,10
A5,125,11
PHA1,126,13 
PHA3,127,13
STSda,128,11
STSdp,129,11
STSvp,130,11
TGd,131,14
TE1a,132,14
TE1p,133,14
TE2a,134,14
TF,135,13
TE2p,136,14 
PHT,137,14
PH,138,5
TPOJ1,139,15 
TPOJ2,140,15
TPOJ3,141,15
DVT,142,18
PGp,143,17
IP2,144,17
IP1,145,17
IP0,146,17
PFop,147,17
PF,148,17
PFm,149,17
PGi,150,17
PGs,151,17
V6A,152,3
VMV1,153,4
VMV3,154,4
PHA2,155,13
V4t,156,5
FST,157,5
V3CD,158,5
LO3,159,5
VMV2,160,4 
31pd,161,18
31a,162,18
VVC,163,4
25,164,19
s32,165,19
pOFC,166,19
PoI1,167,12
Ig,168,12
FOP5,169,12
p10p,170,20
p47r,171,21
TGv,172,14
MBelt,173,10
LBelt,174,10
A4,175,11
STSva,176,11 
TE1m,177,14
PI,178,12
a32pr,179,19 
p24,180,19
